Feature,Hormone,Sleep Stage,Accuracy
"[{'coh': 'alpha'}]","['BDC1']","['N2_small']",0.3692
"[{'coh': 'alpha'}]","['BDC1']","['N3_small']",0.3460
"[{'coh': 'alpha'}]","['BDC1.2']","['N2_small']",0.2843
"[{'coh': 'alpha'}]","['BDC1.2']","['N3_small']",0.3074
"[{'coh': 'alpha'}]","['BDC1.3']","['N2_small']",0.2731
"[{'coh': 'alpha'}]","['BDC1.3']","['N3_small']",0.2762
"[{'coh': 'alpha'}]","['BDC1.4']","['N2_small']",0.3483
"[{'coh': 'alpha'}]","['BDC1.4']","['N3_small']",0.2434
"[{'coh': 'alpha'}]","['BDC1.5']","['N2_small']",0.2631
"[{'coh': 'alpha'}]","['BDC1.5']","['N3_small']",0.2698
"[{'coh': 'alpha'}]","['BDC1.6']","['N3_small']",0.3947
[{'coh': 'alpha'}],['BDC1.7'],['N3_small'],0.44603174603174606
[{'coh': 'alpha'}],['BDC1.7'],['N2_small'],0.35716823406478576
[{'coh': 'alpha'}],['BDC1.8'],['N3_small'],0.31216931216931215
"[{'coh': 'alpha'}, {'coh': 'beta'}]",['BDC1.7'],['N3_small'],0.39365079365079364
"[{'coh': 'alpha'}, {'coh': 'beta'}]",['BDC1.7'],['N2_small'],0.32286115464994775
"[{'coh': 'alpha'}, {'coh': 'beta'}]",['BDC1.8'],['N3_small'],0.42063492063492064
"[{'coh': 'alpha'}, {'coh': 'beta'}]",['BDC1.8'],['N2_small'],0.3107562695924765
"[{'coh': 'alpha'}, {'coh': 'beta'}]",['BDC1.9'],['N3_small'],0.40740740740740744
"[{'coh': 'alpha'}, {'coh': 'beta'}, {'coh': 'delta'}, {'coh': 'gamma'}]",['BDC1.7'],['N3_small'],0.3259259259259259
